step,loss
0,0.51244318
100,0.37359831
200,0.10113601
300,0.09812952
400,0.07498001
500,0.075499
600,0.07819786
700,0.0756586
800,0.08719892
900,0.07659476
1000,0.07920333
1100,0.07030595
1200,0.07150351
1300,0.0680115
1400,0.0732629
1500,0.0627823
1600,0.07299637
1700,0.06476498
1800,0.05603307
1900,0.0621942
2000,0.05270237
2100,0.054577
2200,0.05996514
2300,0.05917462
2400,0.06032575
2500,0.05597772
2600,0.06082629
2700,0.05194103
2800,0.05149809
2900,0.0496471
3000,0.05051293
3100,0.04890338
3200,0.04925685
3300,0.05181955
3400,0.04745521
3500,0.04557557
3600,0.04683067
3700,0.04882767
3800,0.04408201
3900,0.04263434
4000,0.04377233
4100,0.04958739
4200,0.04405389
4300,0.04362691
4400,0.04544925
4500,0.04103747
4600,0.03875203
4700,0.04006822
4800,0.03963199
4900,0.04229274
5000,0.04005138
5100,0.03842168
5200,0.04085919
5300,0.03845089
5400,0.03902243
5500,0.04232769
5600,0.03911372
5700,0.03484277
5800,0.03881437
5900,0.03689555
6000,0.03533581
6100,0.03491046
6200,0.03893635
6300,0.03274036
6400,0.03675519
6500,0.03313734
6600,0.03115078
6700,0.03036674
6800,0.035219
6900,0.03284772
7000,0.03471218
7100,0.03379124
7200,0.03230422
7300,0.02941513
7400,0.03033854
7500,0.03302095
7600,0.02952832
7700,0.02948993
7800,0.0320164
7900,0.02865515
8000,0.0289113
8100,0.02978535
8200,0.02776439
8300,0.02733076
8400,0.0270836
8500,0.02928774
8600,0.03104003
8700,0.02989223
8800,0.02718237
8900,0.02763785
9000,0.02606267
9100,0.02514252
9200,0.02519561
9300,0.02625157
9400,0.02448163
9500,0.02279405
9600,0.02478887
9700,0.0258109
9800,0.02970699
9900,0.02526649
10000,0.02498432
10100,0.02575951
10200,0.02409487
10300,0.02934797
10400,0.02233394
10500,0.02668715
10600,0.02277719
10700,0.02513116
10800,0.02641834
10900,0.02337464
11000,0.02221586
11100,0.02059931
11200,0.02211099
11300,0.02117712
11400,0.02249647
11500,0.02048286
11600,0.02114787
11700,0.02452477
11800,0.01990115
11900,0.02221657
12000,0.01931517
12100,0.02010843
12200,0.02077008
12300,0.01894372
12400,0.0207692
12500,0.0176155
12600,0.01808469
12700,0.01911609
12800,0.01958441
12900,0.01741524
13000,0.01904815
13100,0.01771006
13200,0.01718578
13300,0.01767677
13400,0.01642125
13500,0.01886886
13600,0.01885144
13700,0.01678916
13800,0.02146179
13900,0.01933363
14000,0.01684059
14100,0.01769862
14200,0.01576661
14300,0.01849629
14400,0.01739834
14500,0.01573477
14600,0.01648831
14700,0.01692927
14800,0.01500749
14900,0.01659668
15000,0.01600501
15100,0.01498591
15200,0.01527699
15300,0.0167891
15400,0.01480249
15500,0.01388269
15600,0.01782206
15700,0.0151926
15800,0.01472289
15900,0.01514553
16000,0.01298869
16100,0.01319027
16200,0.01445669
16300,0.0143135
16400,0.01484704
16500,0.01419077
16600,0.0131225
16700,0.01268077
16800,0.01334883
16900,0.01421884
17000,0.01291425
17100,0.01332625
17200,0.0141954
17300,0.01351146
17400,0.01302391
17500,0.01514883
17600,0.0121481
17700,0.01208929
17800,0.01140109
17900,0.0129337
18000,0.01247298
18100,0.01080198
18200,0.01169559
18300,0.01187875
18400,0.0122172
18500,0.01383803
18600,0.0102722
18700,0.01185701
18800,0.01040672
18900,0.01048975
19000,0.01166902
19100,0.01122768
19200,0.01037776
19300,0.01117107
19400,0.01019871
19500,0.00966473
19600,0.01093725
19700,0.01068653
19800,0.00961948
19900,0.01109195
