step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
0,4.79904938,0.0,0.0,1.04018092,1.04018092,0.0,2.62176323,2.38812518,2.58090234,0.0,2.07326794,2.62370658,2.35919261,4.79904938
100,3.47682953,0.0,0.0,0.93318373,0.93318373,0.0,1.77649009,1.92673779,2.07243967,0.0,1.60702109,2.12571168,1.87135911,3.47682953
200,2.25013208,0.0,0.0,0.59954792,0.59954792,0.0,1.10892665,1.26673746,1.28322113,0.0,1.08125079,1.22573256,1.27434886,2.25013208
300,1.57270586,0.0,0.0,0.35967153,0.35967153,0.0,0.77971154,0.961537,0.9826501,0.0,0.75702709,0.92523879,0.9937979,1.57270586
400,1.03478718,0.0,0.0,0.19262436,0.19262436,0.0,0.5207839,0.73210073,0.65496624,0.0,0.4947409,0.67959869,0.63948417,1.03478718
500,0.88131833,0.0,0.0,0.13717811,0.13717811,0.0,0.44934455,0.60057527,0.59862119,0.0,0.41825595,0.55319035,0.56278706,0.88131833
600,0.72343731,0.0,0.0,0.12702055,0.12702055,0.0,0.36102515,0.49488857,0.48613727,0.0,0.34971011,0.47122726,0.47930461,0.72343731
700,0.61721021,0.0,0.0,0.14842254,0.14842254,0.0,0.31325328,0.42322531,0.43500173,0.0,0.28911468,0.40764391,0.39820147,0.61721021
800,0.53593159,0.0,0.0,0.15552822,0.15552822,0.0,0.2742047,0.3937425,0.38223734,0.0,0.24617408,0.36577198,0.33686087,0.53593159
900,0.50652176,0.0,0.0,0.14319821,0.14319821,0.0,0.25785357,0.382833,0.3624649,0.0,0.23434837,0.35631046,0.32317612,0.50652176
1000,0.44292197,0.0,0.0,0.12787697,0.12787697,0.0,0.22473754,0.34133568,0.31271204,0.0,0.20539676,0.326738,0.2726309,0.44292197
1100,0.39093679,0.0,0.0,0.11751851,0.11751851,0.0,0.19634567,0.30659327,0.26253647,0.0,0.18283927,0.28706062,0.24832858,0.39093679
1200,0.33783683,0.0,0.0,0.10663204,0.10663204,0.0,0.17132078,0.28668934,0.22527504,0.0,0.15585288,0.27699259,0.19600691,0.33783683
1300,0.30366141,0.0,0.0,0.10086813,0.10086813,0.0,0.15327364,0.23858953,0.21793686,0.0,0.14030094,0.22454531,0.19561855,0.30366141
1400,0.29269385,0.0,0.0,0.09576782,0.09576782,0.0,0.14672224,0.22957702,0.21144699,0.0,0.13639484,0.21434698,0.19574329,0.29269385
1500,0.25534126,0.0,0.0,0.08817846,0.08817846,0.0,0.12680179,0.21068814,0.17564774,0.0,0.11972164,0.2035453,0.16206504,0.25534126
1600,0.26350445,0.0,0.0,0.08829707,0.08829707,0.0,0.1315295,0.21802177,0.18665524,0.0,0.12314527,0.21003868,0.16839677,0.26350445
1700,0.24491294,0.0,0.0,0.08437002,0.08437002,0.0,0.12320131,0.21570987,0.16758396,0.0,0.11327463,0.20249492,0.14899887,0.24491294
1800,0.21164501,0.0,0.0,0.09276842,0.09276842,0.0,0.10287944,0.18651465,0.13971157,0.0,0.09948871,0.18702136,0.12959124,0.21164501
1900,0.21760845,0.0,0.0,0.0729765,0.0729765,0.0,0.10852284,0.18461978,0.15394923,0.0,0.10178796,0.17247829,0.1434917,0.21760845
