step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
0,5.16795444,0.0,0.0,1.04951882,1.04951882,0.0,2.8184154,2.27912354,3.17520452,0.0,2.24458694,2.95118451,2.69425297,5.16795444
100,3.44621515,0.0,0.0,0.94757968,0.94757968,0.0,1.77181685,1.74701047,2.06200075,0.0,1.57964051,1.94034147,1.85393822,3.44621515
200,2.02304554,0.0,0.0,0.64973068,0.64973068,0.0,0.99485838,1.0264194,1.11962962,0.0,0.9632141,0.98035169,1.09090114,2.02304554
300,1.24309123,0.0,0.0,0.40599242,0.40599242,0.0,0.6234026,0.66316438,0.78428662,0.0,0.57908934,0.61504775,0.73141158,1.24309123
400,0.84271091,0.0,0.0,0.23601866,0.23601866,0.0,0.42745224,0.45023292,0.58990455,0.0,0.39165688,0.4283177,0.5389694,0.84271091
500,0.65790921,0.0,0.0,0.17133917,0.17133917,0.0,0.33401793,0.35945714,0.46152449,0.0,0.30675742,0.34318665,0.41467667,0.65790921
600,0.52049959,0.0,0.0,0.16819043,0.16819043,0.0,0.26301795,0.30171791,0.36563689,0.0,0.24066262,0.28180987,0.33137274,0.52049959
700,0.4550077,0.0,0.0,0.17368262,0.17368262,0.0,0.23057723,0.26169068,0.33137748,0.0,0.20706218,0.23417701,0.3013294,0.4550077
800,0.38529614,0.0,0.0,0.17998825,0.17998825,0.0,0.19137444,0.21663992,0.28057089,0.0,0.17592287,0.20865938,0.25343201,0.38529614
900,0.34703609,0.0,0.0,0.17564216,0.17564216,0.0,0.17213689,0.20039634,0.25083134,0.0,0.15733495,0.18915553,0.22798692,0.34703609
1000,0.33491516,0.0,0.0,0.17690754,0.17690754,0.0,0.16638729,0.19476831,0.24548702,0.0,0.15083708,0.19220306,0.2196409,0.33491516
1100,0.29122233,0.0,0.0,0.1609024,0.1609024,0.0,0.14087336,0.1754974,0.20526493,0.0,0.13425873,0.17134386,0.19494665,0.29122233
1200,0.27090704,0.0,0.0,0.1532205,0.1532205,0.0,0.13087367,0.16047788,0.1965469,0.0,0.12471134,0.16453783,0.18305309,0.27090704
1300,0.24164663,0.0,0.0,0.1590472,0.1590472,0.0,0.11650747,0.14904337,0.17850269,0.0,0.10923442,0.14604408,0.1606805,0.24164663
1400,0.23085152,0.0,0.0,0.15261953,0.15261953,0.0,0.11194833,0.14159004,0.17256622,0.0,0.10364122,0.13605858,0.15536617,0.23085152
1500,0.21205379,0.0,0.0,0.12465515,0.12465515,0.0,0.10304861,0.12665582,0.16040342,0.0,0.09653965,0.12298002,0.14895447,0.21205379
1600,0.20561454,0.0,0.0,0.12772177,0.12772177,0.0,0.09922624,0.12817259,0.15246247,0.0,0.09361612,0.12660228,0.14012344,0.20561454
1700,0.19598766,0.0,0.0,0.12401877,0.12401877,0.0,0.0947565,0.12102756,0.14763817,0.0,0.08882929,0.11928301,0.13448252,0.19598766
1800,0.18040517,0.0,0.0,0.11506344,0.11506344,0.0,0.08710323,0.10500029,0.14332683,0.0,0.08179562,0.10552464,0.13051969,0.18040517
1900,0.1724517,0.0,0.0,0.11073641,0.11073641,0.0,0.08304981,0.10377602,0.13226055,0.0,0.07832825,0.10367773,0.12140225,0.1724517
2000,0.16880569,0.0,0.0,0.11076607,0.11076607,0.0,0.08206894,0.10208517,0.13576254,0.0,0.07566017,0.10054922,0.12062339,0.16880569
2100,0.1695804,0.0,0.0,0.0996554,0.0996554,0.0,0.08279818,0.10352204,0.13683365,0.0,0.07681667,0.09967089,0.12309698,0.1695804
2200,0.16146445,0.0,0.0,0.10006538,0.10006538,0.0,0.07830732,0.10310943,0.12153712,0.0,0.07315061,0.10270521,0.11055037,0.16146445
2300,0.15420218,0.0,0.0,0.09233085,0.09233085,0.0,0.07502659,0.09986278,0.12215754,0.0,0.06994247,0.09667068,0.11029058,0.15420218
2400,0.15132539,0.0,0.0,0.10169509,0.10169509,0.0,0.07311578,0.09236361,0.12022313,0.0,0.06804011,0.08894453,0.1093967,0.15132539
2500,0.1447197,0.0,0.0,0.09888417,0.09888417,0.0,0.06947871,0.09076814,0.11517371,0.0,0.06535257,0.08981737,0.10503662,0.1447197
2600,0.1454459,0.0,0.0,0.09046803,0.09046803,0.0,0.07146694,0.09687295,0.11119106,0.0,0.06493215,0.09204742,0.09743357,0.1454459
2700,0.13699381,0.0,0.0,0.0912607,0.0912607,0.0,0.06623692,0.09031065,0.10423893,0.0,0.06163082,0.0881246,0.09452465,0.13699381
2800,0.13837528,0.0,0.0,0.09656736,0.09656736,0.0,0.06773361,0.08907575,0.11147621,0.0,0.06098494,0.08552267,0.09707161,0.13837528
2900,0.13514638,0.0,0.0,0.08884237,0.08884237,0.0,0.06554756,0.08414961,0.1076425,0.0,0.06071459,0.08128528,0.09684793,0.13514638
3000,0.13073693,0.0,0.0,0.08565505,0.08565505,0.0,0.06314185,0.08584014,0.10186545,0.0,0.05902958,0.08580883,0.09154617,0.13073693
3100,0.12285741,0.0,0.0,0.08657235,0.08657235,0.0,0.05917208,0.07583088,0.10102129,0.0,0.0550281,0.07406577,0.09123436,0.12285741
3200,0.1304204,0.0,0.0,0.08089914,0.08089914,0.0,0.06407064,0.08008862,0.1042579,0.0,0.05825984,0.07751812,0.09239191,0.1304204
3300,0.11658373,0.0,0.0,0.08032458,0.08032458,0.0,0.05630625,0.07697524,0.09422287,0.0,0.05224501,0.07585587,0.08455853,0.11658373
3400,0.12113528,0.0,0.0,0.08623254,0.08623254,0.0,0.05843243,0.08070709,0.09513161,0.0,0.05407961,0.07802562,0.08554538,0.12113528
3500,0.11725446,0.0,0.0,0.07585595,0.07585595,0.0,0.05728911,0.07569984,0.09443618,0.0,0.05237975,0.0732075,0.08390185,0.11725446
3600,0.11494438,0.0,0.0,0.08099996,0.08099996,0.0,0.05579512,0.07651172,0.09339865,0.0,0.05104926,0.07447331,0.08228212,0.11494438
3700,0.11616426,0.0,0.0,0.08550207,0.08550207,0.0,0.0561724,0.07730438,0.09174633,0.0,0.05144165,0.07530452,0.08041725,0.11616426
3800,0.1121621,0.0,0.0,0.08313686,0.08313686,0.0,0.05366355,0.07733216,0.08524433,0.0,0.05018487,0.07416278,0.07728107,0.1121621
3900,0.11255005,0.0,0.0,0.08549049,0.08549049,0.0,0.05442628,0.07277518,0.09171766,0.0,0.04957472,0.06978813,0.08186159,0.11255005
4000,0.11155849,0.0,0.0,0.08616823,0.08616823,0.0,0.05386576,0.07096821,0.09110353,0.0,0.04907589,0.06961574,0.07945263,0.11155849
4100,0.10656136,0.0,0.0,0.08684465,0.08684465,0.0,0.05135085,0.06646718,0.08830433,0.0,0.04652605,0.06457552,0.07701581,0.10656136
4200,0.10488313,0.0,0.0,0.07945051,0.07945051,0.0,0.04996414,0.07083111,0.08013307,0.0,0.04697393,0.06831891,0.07430752,0.10488313
