step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
0,4.81671333,0.0,0.0,0.98419333,0.98419333,0.0,2.63432813,2.3823061,2.59275341,0.0,2.08396554,2.58465505,2.38138056,4.81671333
100,3.47005558,0.0,0.0,0.87165195,0.87165195,0.0,1.77862489,1.92679107,2.07157779,0.0,1.60426509,2.11394119,1.86728179,3.47005558
200,2.25715947,0.0,0.0,0.52795792,0.52795792,0.0,1.11511576,1.26419449,1.28596342,0.0,1.08924794,1.22324991,1.28724575,2.25715947
300,1.56718314,0.0,0.0,0.32353693,0.32353693,0.0,0.7828427,0.96341109,0.97305828,0.0,0.7519868,0.91193509,0.97475952,1.56718314
400,1.03941691,0.0,0.0,0.16968887,0.16968887,0.0,0.52645224,0.74485457,0.65369046,0.0,0.4959957,0.69040948,0.63699704,1.03941691
500,0.88406461,0.0,0.0,0.12986764,0.12986764,0.0,0.45118153,0.60527402,0.59351212,0.0,0.4198963,0.55756205,0.56377304,0.88406461
600,0.73731804,0.0,0.0,0.13534637,0.13534637,0.0,0.37436143,0.49696016,0.51031762,0.0,0.34942207,0.47938967,0.46943629,0.73731804
700,0.60887796,0.0,0.0,0.14018355,0.14018355,0.0,0.30931839,0.43563271,0.41633204,0.0,0.28554121,0.41244918,0.38063425,0.60887796
800,0.54268533,0.0,0.0,0.15125737,0.15125737,0.0,0.27302709,0.38311142,0.38173714,0.0,0.25453252,0.36561099,0.35845736,0.54268533
900,0.49987897,0.0,0.0,0.14723988,0.14723988,0.0,0.24919906,0.36656135,0.34240669,0.0,0.23595594,0.35331625,0.33033249,0.49987897
1000,0.45223305,0.0,0.0,0.12740101,0.12740101,0.0,0.2271371,0.33755159,0.31662476,0.0,0.21235582,0.34271926,0.27880126,0.45223305
1100,0.39068389,0.0,0.0,0.11284096,0.11284096,0.0,0.19892134,0.30775765,0.26954609,0.0,0.18047847,0.29589862,0.23505376,0.39068389
1200,0.35086787,0.0,0.0,0.10745934,0.10745934,0.0,0.17727524,0.28837955,0.24201633,0.0,0.16284671,0.27663481,0.212524,0.35086787
1300,0.31244454,0.0,0.0,0.10288902,0.10288902,0.0,0.15665714,0.25601169,0.21743728,0.0,0.1454985,0.23456413,0.19998722,0.31244454
1400,0.30095235,0.0,0.0,0.08781353,0.08781353,0.0,0.15275928,0.23950683,0.22074504,0.0,0.13941169,0.22756,0.1954262,0.30095235
