step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
0,5.19418335,0.0,0.0,0.980299,0.980299,0.0,2.83799505,2.2719934,3.19060373,0.0,2.25815821,2.93539715,2.71529245,5.19418335
100,3.42989445,0.0,0.0,0.89635748,0.89635748,0.0,1.76958585,1.73546779,2.05716252,0.0,1.57067299,1.94207549,1.82387567,3.42989445
200,2.0186069,0.0,0.0,0.57842511,0.57842511,0.0,0.98800772,1.01521003,1.11331308,0.0,0.97275656,0.98615474,1.09664869,2.0186069
300,1.23706114,0.0,0.0,0.35774884,0.35774884,0.0,0.61568594,0.65256232,0.77702957,0.0,0.58560026,0.60489249,0.7378372,1.23706114
400,0.83792013,0.0,0.0,0.19880366,0.19880366,0.0,0.42362371,0.44871697,0.58003157,0.0,0.39441603,0.41614807,0.54516596,0.83792013
500,0.6544131,0.0,0.0,0.1386784,0.1386784,0.0,0.33626735,0.35972217,0.46230567,0.0,0.30427796,0.33401108,0.41399845,0.6544131
600,0.52279264,0.0,0.0,0.12852335,0.12852335,0.0,0.26397082,0.30158332,0.37153995,0.0,0.24596952,0.29192862,0.33928946,0.52279264
700,0.45324484,0.0,0.0,0.1210899,0.1210899,0.0,0.23112123,0.2622543,0.32954982,0.0,0.21001461,0.24058628,0.29672861,0.45324484
800,0.38092521,0.0,0.0,0.12887336,0.12887336,0.0,0.19080505,0.21385713,0.27909699,0.0,0.17723282,0.20843951,0.25297001,0.38092521
900,0.34644383,0.0,0.0,0.12382942,0.12382942,0.0,0.17420805,0.19303161,0.26030061,0.0,0.15985283,0.18825744,0.23330645,0.34644383
1000,0.33847323,0.0,0.0,0.13230155,0.13230155,0.0,0.16905814,0.19707921,0.25284955,0.0,0.15618494,0.19410716,0.22631937,0.33847323
1100,0.2970497,0.0,0.0,0.12042908,0.12042908,0.0,0.14638363,0.18032394,0.21587303,0.0,0.13862313,0.17661232,0.20098639,0.2970497
1200,0.27251264,0.0,0.0,0.10876232,0.10876232,0.0,0.13486378,0.16847502,0.20232375,0.0,0.12677263,0.16867933,0.18489055,0.27251264
1300,0.23729008,0.0,0.0,0.10593784,0.10593784,0.0,0.1172343,0.15171011,0.17759824,0.0,0.109462,0.14653625,0.1630511,0.23729008
1400,0.22834805,0.0,0.0,0.09850127,0.09850127,0.0,0.11227739,0.14153437,0.17417534,0.0,0.10622054,0.13842617,0.16240279,0.22834805
1500,0.21265261,0.0,0.0,0.08851898,0.08851898,0.0,0.10577706,0.12804903,0.16475119,0.0,0.09802364,0.12640162,0.15084811,0.21265261
1600,0.20486546,0.0,0.0,0.08345738,0.08345738,0.0,0.10087477,0.12885708,0.15565538,0.0,0.09564493,0.13247263,0.14345913,0.20486546
1700,0.19326636,0.0,0.0,0.08497511,0.08497511,0.0,0.095355,0.12107934,0.14861232,0.0,0.08941387,0.12093964,0.13440131,0.19326636
1800,0.1787746,0.0,0.0,0.08780967,0.08780967,0.0,0.0876618,0.10453139,0.14387447,0.0,0.08233183,0.10494084,0.13289049,0.1787746
1900,0.1739331,0.0,0.0,0.08219337,0.08219337,0.0,0.08496433,0.10696569,0.13625225,0.0,0.08074944,0.10972647,0.12485508,0.1739331
2000,0.16749316,0.0,0.0,0.08139177,0.08139177,0.0,0.08230036,0.10186129,0.13653685,0.0,0.07705363,0.10113201,0.12436475,0.16749316
2100,0.16992611,0.0,0.0,0.07722584,0.07722584,0.0,0.08352671,0.10489964,0.13784561,0.0,0.07867683,0.10142181,0.12733465,0.16992611
2200,0.16209653,0.0,0.0,0.07594513,0.07594513,0.0,0.07942484,0.10281602,0.12554274,0.0,0.07507718,0.10492145,0.11464208,0.16209653
