step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
0,4.818501,0.0,0.0,0.98861367,0.98861367,0.0,2.65983725,2.42999864,2.55986285,0.0,2.05980229,2.46303797,2.47367692,4.818501
100,3.49844813,0.0,0.0,0.91028416,0.91028416,0.0,1.80152404,1.93150401,2.0995059,0.0,1.60589564,2.06696963,1.90437341,3.49844813
200,2.26650596,0.0,0.0,0.5951857,0.5951857,0.0,1.10165846,1.26318991,1.2753222,0.0,1.10532892,1.2610749,1.29423857,2.26650596
300,1.49224174,0.0,0.0,0.36646509,0.36646509,0.0,0.72527432,0.91437942,0.92274338,0.0,0.73032105,0.92592466,0.93583572,1.49224174
400,0.93491513,0.0,0.0,0.19346431,0.19346431,0.0,0.46245426,0.64597136,0.59630799,0.0,0.45311454,0.66016454,0.57698762,0.93491513
500,0.75867242,0.0,0.0,0.13169339,0.13169339,0.0,0.37986919,0.51376146,0.5120424,0.0,0.36563388,0.51843929,0.48316628,0.75867242
600,0.63248342,0.0,0.0,0.1237323,0.1237323,0.0,0.31706753,0.43322334,0.44461337,0.0,0.30304271,0.43010452,0.41060698,0.63248342
700,0.53601813,0.0,0.0,0.13192064,0.13192064,0.0,0.26851746,0.38992339,0.37008736,0.0,0.25430858,0.38441062,0.33877999,0.53601813
800,0.48945785,0.0,0.0,0.13466829,0.13466829,0.0,0.24508831,0.37126058,0.34883803,0.0,0.2309027,0.36310706,0.31603011,0.48945785
900,0.46117005,0.0,0.0,0.14517736,0.14517736,0.0,0.22621554,0.35283637,0.31640068,0.0,0.22043678,0.34112221,0.31012362,0.46117005
1000,0.40678728,0.0,0.0,0.14149477,0.14149477,0.0,0.19805336,0.31341416,0.27299795,0.0,0.19458444,0.30284512,0.26493624,0.40678728
1100,0.36643606,0.0,0.0,0.14724207,0.14724207,0.0,0.18066393,0.29326507,0.24755661,0.0,0.17104797,0.2796559,0.22835842,0.36643606
1200,0.34357542,0.0,0.0,0.14822909,0.14822909,0.0,0.16948205,0.2942113,0.23058307,0.0,0.1592705,0.27718985,0.20826124,0.34357542
