step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
0,5.16892433,0.0,0.0,0.98664838,0.98664838,0.0,2.86215448,2.27134037,3.16986465,0.0,2.20810485,2.76612282,2.74218321,5.16892433
100,3.43644667,0.0,0.0,0.92947704,0.92947704,0.0,1.78404832,1.74128962,2.07640386,0.0,1.55945051,1.86864412,1.85712719,3.43644667
200,2.00751853,0.0,0.0,0.64211524,0.64211524,0.0,0.96495956,0.98489881,1.10070717,0.0,0.9783476,0.99889082,1.1111697,2.00751853
300,1.19200897,0.0,0.0,0.38313034,0.38313034,0.0,0.57031983,0.60400569,0.73426771,0.0,0.58337611,0.62076658,0.7476213,1.19200897
400,0.76699913,0.0,0.0,0.19994056,0.19994056,0.0,0.37176773,0.39517769,0.52325886,0.0,0.37523738,0.40499845,0.52204019,0.76699913
500,0.59734327,0.0,0.0,0.12861927,0.12861927,0.0,0.29083288,0.31245643,0.40978485,0.0,0.29364845,0.31543589,0.41315761,0.59734327
600,0.479105,0.0,0.0,0.12155975,0.12155975,0.0,0.23148637,0.2668615,0.3325223,0.0,0.23546264,0.26962963,0.33600402,0.479105
700,0.42005089,0.0,0.0,0.11787526,0.11787526,0.0,0.20580795,0.23505192,0.30667815,0.0,0.2024554,0.2285004,0.29850811,0.42005089
800,0.36732018,0.0,0.0,0.12375476,0.12375476,0.0,0.17741606,0.20429438,0.26693192,0.0,0.17752865,0.20846729,0.26616108,0.36732018
900,0.33740425,0.0,0.0,0.13676612,0.13676612,0.0,0.16266905,0.18622047,0.24512461,0.0,0.16105862,0.18724266,0.24213359,0.33740425
1000,0.3231076,0.0,0.0,0.12945329,0.12945329,0.0,0.15747866,0.19072467,0.23669665,0.0,0.15268359,0.19352922,0.22731979,0.3231076
1100,0.29165718,0.0,0.0,0.11546072,0.11546072,0.0,0.14240271,0.17787778,0.21603641,0.0,0.13770843,0.18087527,0.20460619,0.29165718
1200,0.2708416,0.0,0.0,0.11152933,0.11152933,0.0,0.13052198,0.16519794,0.19894519,0.0,0.12916666,0.16483146,0.1971674,0.2708416
1300,0.23658304,0.0,0.0,0.10695905,0.10695905,0.0,0.11459154,0.1456982,0.17775039,0.0,0.1112956,0.14759909,0.16998565,0.23658304
1400,0.22928376,0.0,0.0,0.10433635,0.10433635,0.0,0.1107326,0.13916738,0.17508751,0.0,0.10811754,0.13684665,0.16903056,0.22928376
1500,0.215233,0.0,0.0,0.09425177,0.09425177,0.0,0.10375984,0.12831345,0.16491666,0.0,0.10204799,0.12930535,0.16011649,0.215233
1600,0.20730117,0.0,0.0,0.08756113,0.08756113,0.0,0.09923593,0.12960815,0.1553141,0.0,0.09930912,0.13080476,0.15405464,0.20730117
1700,0.19324598,0.0,0.0,0.08821397,0.08821397,0.0,0.0937606,0.12276358,0.1462834,0.0,0.09066398,0.12354828,0.13814466,0.19324598
1800,0.17938063,0.0,0.0,0.08798054,0.08798054,0.0,0.08671772,0.10832065,0.14168443,0.0,0.08386486,0.10783198,0.1349605,0.17938063
1900,0.17341889,0.0,0.0,0.0885295,0.0885295,0.0,0.08289628,0.10773618,0.131538,0.0,0.08166967,0.10877211,0.12773819,0.17341889
2000,0.17035633,0.0,0.0,0.09381914,0.09381914,0.0,0.08102741,0.10445119,0.13331962,0.0,0.07994701,0.10597869,0.1294077,0.17035633
2100,0.17208897,0.0,0.0,0.09026861,0.09026861,0.0,0.08263067,0.10384711,0.1366218,0.0,0.08043142,0.10324001,0.13030162,0.17208897
2200,0.16283521,0.0,0.0,0.08351636,0.08351636,0.0,0.07827586,0.10384731,0.12422046,0.0,0.07620772,0.10584028,0.11727659,0.16283521
2300,0.15694074,0.0,0.0,0.08725704,0.08725704,0.0,0.07557906,0.09656235,0.12547052,0.0,0.07263597,0.0971116,0.11624418,0.15694074
2400,0.15145148,0.0,0.0,0.08404828,0.08404828,0.0,0.07128128,0.09467696,0.11600999,0.0,0.07176538,0.09559731,0.11402871,0.15145148
2500,0.14716238,0.0,0.0,0.08560024,0.08560024,0.0,0.07060692,0.09229897,0.11807602,0.0,0.06799543,0.09282337,0.11019765,0.14716238
2600,0.14492692,0.0,0.0,0.0773847,0.0773847,0.0,0.06971706,0.09672861,0.10814518,0.0,0.0674714,0.09568397,0.10193682,0.14492692
2700,0.14070012,0.0,0.0,0.0787457,0.0787457,0.0,0.06773213,0.09084986,0.10829605,0.0,0.06509342,0.0912676,0.10095066,0.14070012
2800,0.1386634,0.0,0.0,0.0855752,0.0855752,0.0,0.06737312,0.08817228,0.11181989,0.0,0.06273276,0.08830557,0.10009068,0.1386634
2900,0.13535233,0.0,0.0,0.0799244,0.0799244,0.0,0.06559812,0.08459503,0.10776886,0.0,0.06176176,0.08239069,0.09933792,0.13535233
3000,0.13208956,0.0,0.0,0.07404313,0.07404313,0.0,0.06377873,0.0891274,0.10275165,0.0,0.06090652,0.08929073,0.09502752,0.13208956
3100,0.12563393,0.0,0.0,0.0761179,0.0761179,0.0,0.05982718,0.07781475,0.10180851,0.0,0.05819495,0.07811548,0.09759624,0.12563393
3200,0.13141996,0.0,0.0,0.0725273,0.0725273,0.0,0.06357346,0.08047839,0.10378201,0.0,0.06059378,0.0796562,0.09770233,0.13141996
3300,0.1168293,0.0,0.0,0.07131907,0.07131907,0.0,0.05566372,0.07700635,0.09261923,0.0,0.05403369,0.07760009,0.08793287,0.1168293
3400,0.12404829,0.0,0.0,0.0804812,0.0804812,0.0,0.05933386,0.08137774,0.09781334,0.0,0.0566663,0.08055831,0.09057653,0.12404829
3500,0.1186445,0.0,0.0,0.06459406,0.06459406,0.0,0.05750099,0.07693333,0.09484448,0.0,0.0546841,0.07823544,0.08692718,0.1186445
3600,0.11510001,0.0,0.0,0.06737213,0.06737213,0.0,0.05578883,0.07614257,0.0936306,0.0,0.05257396,0.07720231,0.08463206,0.11510001
3700,0.11637072,0.0,0.0,0.07096528,0.07096528,0.0,0.05608505,0.0783596,0.09101629,0.0,0.05318913,0.07830634,0.08331168,0.11637072
3800,0.11100525,0.0,0.0,0.06580124,0.06580124,0.0,0.05337173,0.07465086,0.08609188,0.0,0.0510534,0.07411819,0.07995524,0.11100525
3900,0.11207435,0.0,0.0,0.0679222,0.0679222,0.0,0.05415082,0.07441004,0.09057965,0.0,0.05113132,0.07298324,0.08331597,0.11207435
4000,0.11217891,0.0,0.0,0.06727485,0.06727485,0.0,0.05452992,0.07257155,0.09220129,0.0,0.05092151,0.07306658,0.08232425,0.11217891
4100,0.10870913,0.0,0.0,0.06928433,0.06928433,0.0,0.05269938,0.06814682,0.09083284,0.0,0.04908131,0.06751852,0.08169189,0.10870913
4200,0.10455831,0.0,0.0,0.06342339,0.06342339,0.0,0.05014962,0.07064816,0.08063526,0.0,0.04806634,0.07117112,0.07507148,0.10455831
4300,0.1044898,0.0,0.0,0.06274666,0.06274666,0.0,0.05076706,0.07101283,0.0833025,0.0,0.04744807,0.06894797,0.07556348,0.1044898
4400,0.10686987,0.0,0.0,0.06276776,0.06276776,0.0,0.05105109,0.06948853,0.08382009,0.0,0.04954201,0.06998474,0.07939161,0.10686987
4500,0.10594507,0.0,0.0,0.06408607,0.06408607,0.0,0.05110929,0.0674665,0.08688698,0.0,0.04842717,0.06673625,0.08000299,0.10594507
4600,0.09751707,0.0,0.0,0.06049865,0.06049865,0.0,0.04679604,0.06774899,0.07595413,0.0,0.04467117,0.06656815,0.07167581,0.09751707
4700,0.10146799,0.0,0.0,0.06391605,0.06391605,0.0,0.04887557,0.06439877,0.08274993,0.0,0.04620082,0.06467548,0.07562837,0.10146799
4800,0.09369124,0.0,0.0,0.0594405,0.0594405,0.0,0.04522968,0.06179419,0.07676032,0.0,0.04251752,0.06218735,0.06935454,0.09369124
4900,0.09957931,0.0,0.0,0.06580721,0.06580721,0.0,0.04820142,0.06729599,0.08069816,0.0,0.04479717,0.06690885,0.07134847,0.09957931
5000,0.09717054,0.0,0.0,0.06820725,0.06820725,0.0,0.04601312,0.06103119,0.07742233,0.0,0.04433669,0.06104409,0.07253527,0.09717054
5100,0.09140333,0.0,0.0,0.06209176,0.06209176,0.0,0.04460268,0.059776,0.07666768,0.0,0.04059148,0.05931334,0.06662147,0.09140333
5200,0.10165489,0.0,0.0,0.06945163,0.06945163,0.0,0.04850341,0.06721025,0.07861663,0.0,0.04620631,0.06738248,0.07240742,0.10165489
5300,0.0939984,0.0,0.0,0.0624339,0.0624339,0.0,0.04528153,0.06499615,0.07435809,0.0,0.04247348,0.06440004,0.06702743,0.0939984
5400,0.09510611,0.0,0.0,0.05959872,0.05959872,0.0,0.04594735,0.06570644,0.07504056,0.0,0.04319888,0.06535458,0.06834808,0.09510611
5500,0.09722589,0.0,0.0,0.06223752,0.06223752,0.0,0.04806395,0.0655119,0.08120683,0.0,0.0429382,0.06373331,0.06891319,0.09722589
5600,0.09396268,0.0,0.0,0.06217419,0.06217419,0.0,0.04547282,0.06250448,0.07530148,0.0,0.04227246,0.06240011,0.0670099,0.09396268
5700,0.0902831,0.0,0.0,0.06283811,0.06283811,0.0,0.0438325,0.05966231,0.07440027,0.0,0.04016681,0.05806501,0.06591992,0.0902831
5800,0.09636143,0.0,0.0,0.06757732,0.06757732,0.0,0.04689026,0.06350964,0.07819164,0.0,0.04271343,0.06026031,0.0685672,0.09636143
